movie_id,imdb_id,tmdb_id,rating,average_rating,title
6,0113277,949,4.0,3.84775,Heat (1995)
10,0113189,710,3.5,3.43236,GoldenEye (1995)
16,0112641,524,4.0,3.80626,Casino (1995)
32,0114746,63,4.0,3.89123,Twelve Monkeys (1995)
47,0114369,807,5.0,4.0743,Se7en (1995)
50,0114814,629,3.5,4.28787,The Usual Suspects (1995)
70,0116367,755,3.5,3.31917,From Dusk Till Dawn (1996)
110,0112573,197,2.0,4.00696,Braveheart (1995)
111,0075314,103,5.0,4.0857,Taxi Driver (1976)
123,0109424,11104,2.5,3.99113,Chungking Express (1994)
215,0112471,76,3.5,3.90769,Before Sunrise (1995)
233,0109759,20156,3.0,3.5257,Exotica (1995)
260,0076759,11,4.0,4.11581,Star Wars (1977)
288,0110632,241,1.0,3.25537,Natural Born Killers (1994)
293,0110413,101,4.0,4.09049,Léon: The Professional (1994)
296,0110912,680,4.5,4.17797,Pulp Fiction (1994)
318,0111161,278,4.0,4.42283,The Shawshank Redemption (1994)
347,0104779,10497,3.5,3.44131,Bitter Moon (1992)
356,0109830,13,2.0,4.05983,Forrest Gump (1994)
364,0110357,8587,3.5,3.81518,The Lion King (1994)
480,0107290,329,2.0,3.66774,Jurassic Park (1993)
501,0107653,21450,2.5,3.83203,Naked (1993)
527,0108052,424,4.0,4.25359,Schindler's List (1993)
541,0083658,78,4.0,4.11669,Blade Runner (1982)
555,0108399,319,5.0,3.80464,True Romance (1993)
589,0103064,280,3.5,3.94435,Terminator 2: Judgment Day (1991)
592,0096895,268,2.0,3.38682,Batman (1989)
593,0102926,274,4.0,4.15117,The Silence of the Lambs (1991)
608,0116282,275,3.5,4.10805,Fargo (1996)
741,0113568,9323,3.0,3.9663,Ghost in the Shell (1995)
778,0117951,627,3.0,4.00841,Trainspotting (1996)
858,0068646,238,4.0,4.33169,The Godfather (1972)
866,0115736,9303,3.5,3.71176,Bound (1996)
903,0052357,426,3.0,4.11835,Vertigo (1958)
904,0047396,567,3.0,4.22987,Rear Window (1954)
922,0043014,599,3.0,4.19724,Sunset Boulevard (1950)
924,0062622,62,2.5,3.97808,2001: A Space Odyssey (1968)
1036,0095016,562,3.5,3.93287,Die Hard (1988)
1076,0055018,16372,3.5,3.82479,The Innocents (1961)
1086,0046912,521,3.5,4.0227,Dial M for Murder (1954)
1089,0105236,500,4.5,4.09054,Reservoir Dogs (1992)
1092,0103772,402,4.0,3.35452,Basic Instinct (1992)
1173,0097108,7452,3.0,3.45624,"The Cook, the Thief, His Wife & Her Lover (1989)"
1175,0101700,892,2.0,3.95533,Delicatessen (1991)
1193,0073486,510,3.5,4.22207,One Flew Over the Cuckoo's Nest (1975)
1196,0080684,1891,4.0,4.13088,The Empire Strikes Back (1980)
1198,0082971,85,2.0,4.11622,Raiders of the Lost Ark (1981)
1200,0090605,679,3.5,3.99552,Aliens (1986)
1201,0060196,429,3.0,4.124,"The Good, the Bad and the Ugly (1966)"
1203,0050083,389,4.0,4.23958,12 Angry Men (1957)
1206,0066921,185,4.0,3.98239,A Clockwork Orange (1971)
1208,0078788,28,2.0,4.10852,Apocalypse Now (1979)
1209,0064116,335,3.0,4.10892,Once Upon a Time in the West (1968)
1210,0086190,1892,3.5,3.98544,Return of the Jedi (1983)
1213,0099685,769,4.0,4.18,GoodFellas (1990)
1214,0078748,348,4.0,4.05301,Alien (1979)
1219,0054215,539,3.5,4.06313,Psycho (1960)
1221,0071562,240,4.0,4.26537,The Godfather: Part II (1974)
1222,0093058,600,3.5,4.04087,Full Metal Jacket (1987)
1228,0081398,1578,3.5,4.04804,Raging Bull (1980)
1232,0079944,1398,2.0,4.07811,Stalker (1979)
1240,0088247,218,4.0,3.89355,The Terminator (1984)
1241,0103873,763,3.0,3.71303,Braindead (1992)
1247,0061722,37247,3.5,4.03101,The Graduate (1967)
1252,0071315,829,3.5,4.15136,Chinatown (1974)
1258,0081505,694,3.5,4.01985,The Shining (1980)
1259,0092005,235,3.5,3.98602,Stand by Me (1986)
1263,0077416,11778,4.0,3.96955,The Deer Hunter (1978)
1265,0107048,137,3.0,3.889,Groundhog Day (1993)
1274,0094625,149,3.5,3.90098,Akira (1988)
1280,0101640,10404,3.5,4.11711,Raise the Red Lantern (1991)
1321,0082010,814,3.5,3.51991,An American Werewolf in London (1981)
1343,0101540,1598,3.0,3.53941,Cape Fear (1991)
1347,0087800,377,2.5,3.27765,A Nightmare on Elm Street (1984)
1387,0073195,578,3.0,3.78309,Jaws (1975)
1407,0117571,4232,3.5,3.27495,Scream (1996)
1464,0116922,638,4.0,3.71418,Lost Highway (1997)
1466,0119008,9366,4.0,3.80382,Donnie Brasco (1997)
1527,0119116,18,2.5,3.76049,The Fifth Element (1997)
1617,0119488,2118,4.0,4.06254,L.A. Confidential (1997)
1625,0119174,2649,4.0,3.85995,The Game (1997)
1645,0118971,1813,3.5,3.54185,The Devil's Advocate (1997)
1653,0119177,782,4.0,3.79021,Gattaca (1997)
1673,0118749,4995,3.0,3.68602,Boogie Nights (1997)
1682,0120382,37165,3.5,3.8526,The Truman Show (1998)
1704,0119217,489,3.5,4.081,Good Will Hunting (1997)
1729,0119396,184,4.0,3.68845,Jackie Brown (1997)
1732,0118715,115,3.5,3.96736,The Big Lebowski (1998)
1748,0118929,2666,4.0,3.80014,Dark City (1998)
